PLAYER_NAME,ID,diff
Lonzo Ball,2579,-0.08961905022316768
Lance Thomas,1491,-0.08948151827995234
Nick Calathes,556,-0.08946476013195107
Dorell Wright,485,-0.0890074663143989
Adreian Payne,415,-0.08867731812038077
Cory Jefferson,182,-0.08783012328004526
P.J. Tucker,3840,-0.08779230274959941
Jason Maxiell,295,-0.08772003080290651
Kevin Porter Jr.,959,-0.08760596176075995
Kent Bazemore,4387,-0.08713000914301111
Jay Scrubb,54,-0.08708420911417444
Dorian Finney-Smith,2061,-0.08692557981724236
Bruce Brown,1264,-0.0867977501729441
Day'Ron Sharpe,12,-0.08665647720886288
Furkan Aldemir,78,-0.08620055276316352
Dwight Buycks,279,-0.08603511032574776
Devin Harris,2246,-0.08568128787281909
Sasha Vujacic,395,-0.08549519842532631
Bobby Brown,118,-0.08523470969583335
Nate Robinson,624,-0.08396986196565716
Brad Wanamaker,789,-0.08388881634623883
Greg Oden,49,-0.08384508099638167
Malcolm Delaney,662,-0.0831502578765187
Amile Jefferson,30,-0.08310470557372941
James Michael McAdoo,243,-0.08303084542715834
Mario Chalmers,2020,-0.08280095354184476
Toney Douglas,797,-0.08259780088114341
Amir Coffey,182,-0.08254811189119166
Tyler Dorsey,648,-0.08231833477039889
Alex Poythress,161,-0.08229252085175
Chase Budinger,854,-0.08196572978271409
Alperen Sengun,85,-0.08191398349175501
Nik Stauskas,1900,-0.08052919819737356
R.J. Hampton,404,-0.07991690052899844
Shawne Williams,484,-0.07958346232275798
John Lucas III,265,-0.07941744592199101
Zach Collins,758,-0.07905028645473408
JaKarr Sampson,1011,-0.07875288402487815
Jaylen Nowell,403,-0.07845164657821878
De'Anthony Melton,1187,-0.07834645991005774
Chasson Randle,550,-0.07834610276919814
Jordan Hamilton,513,-0.07799143552585722
Marcus Thornton,1621,-0.07776811248227794
Diante Garrett,251,-0.07767626537239353
Luka Samanic,121,-0.07767100531508608
Perry Jones III,363,-0.07754322470912095
Randy Foye,2064,-0.0771246288227579
Juancho Hernangomez,1163,-0.07623710189856721
Nate Wolters,420,-0.0758688584570091
Kelly Oubre Jr.,3956,-0.07582339480276254
Trevor Ariza,5252,-0.07573537945800003
Jeff Withey,461,-0.07544631625808862
Noah Vonleh,1373,-0.07539871190389337
Elfrid Payton,4462,-0.07538453175223918
Jordan Bone,74,-0.07531491415763351
Chinanu Onuaku,12,-0.07519359360091449
Bryce Dejean-Jones,69,-0.07503985114312631
Quincy Pondexter,617,-0.07482135042138552
